core_model,site_model,MS_GC,site_charge,temperature,input_mole_fractions,x,phi,rho,Vo_mole_fraction,Gd_mole_fraction
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-3.673548079e-09,-0.017269851142478698,-2801518070.129926,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-3.5954369570000002e-09,-3.631504029804852e-05,900655419.3693926,0.048223194231159526,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-3.4392149940000004e-09,-4.24815497355319e-05,900685443.239628,0.048224801779279264,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-3.3611038720000015e-09,-0.01728274505525439,-2801518088.062808,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-3.28299275e-09,-5.013976745377897e-05,900625170.9055656,0.04822157465777463,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-3.126770787e-09,-5.702181927654593e-05,900673606.641414,0.048224168225965085,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-3.048659664e-09,-0.017297409726690728,-2801518070.1299186,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-2.970548542000001e-09,-6.492862366213037e-05,900619736.7161654,0.048221283698584944,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-2.814326579e-09,-7.183290504674283e-05,900668748.1661543,0.0482239078860616,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-2.7362154570000003e-09,-0.017312141259798217,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-2.658104335e-09,-7.958082367592962e-05,900610781.6427428,0.048220804428822255,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-2.5018823710000002e-09,-8.604991007783963e-05,900648591.679947,0.04822282886651125,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-2.423771249e-09,-0.017325831528804115,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-2.3456601270000003e-09,-9.274435665897974e-05,900563522.2528547,0.048218273844955535,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-2.189438164e-09,-9.655051785962293e-05,900404135.2564771,0.04820973989299249,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-2.1113270420000007e-09,-0.017330414643857702,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-2.0332159199999997e-09,-9.140997896751768e-05,899886036.9684306,0.04818199990647669,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-1.876993956e-09,-5.7460163094375355e-05,898628033.3759961,0.0481146434563453,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-1.7988828340000003e-09,-0.017238506620770856,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-1.7207717120000005e-09,5.3315714058591024e-05,895659254.8825488,0.047955687918225263,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-1.5645497490000001e-09,0.00035298386433942557,887510455.9865392,0.04751938219745575,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-1.4864386270000006e-09,-0.016486848672226058,-2801518070.1299186,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-1.4083275039999996e-09,0.0011461878066577847,869707557.2293688,0.04656617283113137,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-1.2521055449999998e-09,0.003096545087191916,832749031.2217113,0.04458732669335218,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-1.173994424e-09,-0.011894151838815807,-2801519038.506917,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-1.0958833540000004e-09,0.0075880069709447625,750289650.0754732,0.04017226826559443,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-9.396612898e-10,0.017733042199596757,611844668.9436332,0.03275958003252523,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-8.615503564999999e-10,0.011025077680746596,-2801475166.3210816,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-7.834366522999999e-10,0.03879087886909241,373698395.58171606,0.02000819886914118,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-6.272229614e-10,0.07971390588709865,172667464.32168043,0.009244991322727452,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-5.491042746000001e-10,0.09658956079376656,-2804136126.712259,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-4.711465718999996e-10,0.1478358869364426,66153799.11771296,0.003546519761107364,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-3.1447408229999997e-10,0.2474879244419375,1179859487.5062568,0.06307466415135388,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-2.371761489e-10,0.27453201076489325,-2843177561.091296,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-1.6054087450000004e-10,0.33517022647257794,5448455826.742887,0.2931028135141464,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],-1.7347358e-12,0.25118213342758616,35097.88005839445,1.9047569735046024e-06,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],7.697628420000002e-11,0.20908007678434096,-2758167157.560128,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],1.569428995e-10,0.20159319418009933,986908739.7621003,0.05300316914127834,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],3.120267657e-10,0.1496308379608919,1263099440.725203,0.06741684621894319,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],3.905398624e-10,0.09929096503918816,-2794580520.824509,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],4.686368326000001e-10,0.0836837543165875,178859598.0235372,0.009576678627228592,0.0
